,x,y,objID,label
0,1251.0,7368.0,1.0,1.0
1,1247.0,7365.0,1.0,1.0
2,1243.0,7353.0,1.0,1.0
3,1237.0,7343.0,1.0,1.0
4,1235.0,7338.0,1.0,1.0
5,1234.0,7336.0,1.0,1.0
6,1234.0,7330.0,1.0,1.0
7,1235.0,7329.0,1.0,1.0
8,1235.0,7327.0,1.0,1.0
9,1235.0,7326.0,1.0,1.0
10,1235.0,7320.0,1.0,1.0
11,1235.0,7315.0,1.0,1.0
12,1234.0,7311.0,1.0,1.0
13,1234.0,7309.0,1.0,1.0
14,1235.0,7304.0,1.0,1.0
15,1234.0,7302.0,1.0,1.0
16,1234.0,7299.0,1.0,1.0
17,1234.0,7296.0,1.0,1.0
18,1234.0,7291.0,1.0,1.0
19,1235.0,7286.0,1.0,1.0
20,1235.0,7279.0,1.0,1.0
21,1237.0,7269.0,1.0,1.0
22,1238.0,7265.0,1.0,1.0
23,1238.0,7264.0,1.0,1.0
24,1239.0,7260.0,1.0,1.0
25,1239.0,7257.0,1.0,1.0
26,1239.0,7256.0,1.0,1.0
27,1240.0,7252.0,1.0,1.0
28,1242.0,7250.0,1.0,1.0
29,1245.0,7250.0,1.0,1.0
30,1245.0,7246.0,1.0,1.0
31,1246.0,7243.0,1.0,1.0
32,1247.0,7241.0,1.0,1.0
33,1247.0,7237.0,1.0,1.0
34,1247.0,7235.0,1.0,1.0
35,1247.0,7233.0,1.0,1.0
36,1247.0,7232.0,1.0,1.0
37,1247.0,7229.0,1.0,1.0
38,1247.0,7227.0,1.0,1.0
39,1247.0,7226.0,1.0,1.0
40,1249.0,7223.0,1.0,1.0
41,1252.0,7221.0,1.0,1.0
42,1253.0,7218.0,1.0,1.0
43,1253.0,7217.0,1.0,1.0
44,1254.0,7215.0,1.0,1.0
45,1255.0,7213.0,1.0,1.0
46,1257.0,7212.0,1.0,1.0
47,1258.0,7211.0,1.0,1.0
48,1267.0,7198.0,1.0,1.0
49,1273.0,7191.0,1.0,1.0
50,1276.0,7186.0,1.0,1.0
51,1277.0,7184.0,1.0,1.0
52,1278.0,7183.0,1.0,1.0
53,1280.0,7182.0,1.0,1.0
54,1281.0,7181.0,1.0,1.0
55,1282.0,7180.0,1.0,1.0
56,1283.0,7179.0,1.0,1.0
57,1285.0,7178.0,1.0,1.0
58,1286.0,7176.0,1.0,1.0
59,1290.0,7173.0,1.0,1.0
60,1292.0,7172.0,1.0,1.0
61,1294.0,7171.0,1.0,1.0
62,1294.0,7169.0,1.0,1.0
63,1296.0,7169.0,1.0,1.0
64,1296.0,7168.0,1.0,1.0
65,1297.0,7167.0,1.0,1.0
66,1299.0,7165.0,1.0,1.0
67,1304.0,7163.0,1.0,1.0
68,1305.0,7163.0,1.0,1.0
69,1307.0,7161.0,1.0,1.0
70,1308.0,7160.0,1.0,1.0
71,1311.0,7159.0,1.0,1.0
72,1313.0,7158.0,1.0,1.0
73,1317.0,7156.0,1.0,1.0
74,1320.0,7153.0,1.0,1.0
75,1323.0,7152.0,1.0,1.0
76,1324.0,7150.0,1.0,1.0
77,1326.0,7150.0,1.0,1.0
78,1328.0,7148.0,1.0,1.0
79,1329.0,7148.0,1.0,1.0
80,1331.0,7146.0,1.0,1.0
81,1334.0,7144.0,1.0,1.0
82,1335.0,7143.0,1.0,1.0
83,1337.0,7142.0,1.0,1.0
84,1339.0,7142.0,1.0,1.0
85,1340.0,7141.0,1.0,1.0
86,1344.0,7141.0,1.0,1.0
87,1345.0,7141.0,1.0,1.0
88,1346.0,7140.0,1.0,1.0
89,1349.0,7138.0,1.0,1.0
90,1350.0,7138.0,1.0,1.0
91,1353.0,7136.0,1.0,1.0
92,1358.0,7134.0,1.0,1.0
93,1360.0,7133.0,1.0,1.0
94,1361.0,7133.0,1.0,1.0
95,1362.0,7133.0,1.0,1.0
96,1365.0,7133.0,1.0,1.0
97,1365.0,7132.0,1.0,1.0
98,1367.0,7130.0,1.0,1.0
99,1369.0,7130.0,1.0,1.0
100,1374.0,7128.0,1.0,1.0
101,1376.0,7127.0,1.0,1.0
102,1378.0,7127.0,1.0,1.0
103,1380.0,7126.0,1.0,1.0
104,1382.0,7126.0,1.0,1.0
105,1383.0,7126.0,1.0,1.0
106,1384.0,7125.0,1.0,1.0
107,1385.0,7126.0,1.0,1.0
108,1389.0,7125.0,1.0,1.0
109,1391.0,7125.0,1.0,1.0
110,1394.0,7125.0,1.0,1.0
111,1397.0,7125.0,1.0,1.0
112,1399.0,7123.0,1.0,1.0
113,1403.0,7123.0,1.0,1.0
114,1405.0,7123.0,1.0,1.0
115,1407.0,7122.0,1.0,1.0
116,1409.0,7121.0,1.0,1.0
117,1412.0,7119.0,1.0,1.0
118,1414.0,7118.0,1.0,1.0
119,1416.0,7117.0,1.0,1.0
120,1416.0,7114.0,1.0,1.0
121,1417.0,7114.0,1.0,1.0
122,1420.0,7114.0,1.0,1.0
123,1423.0,7113.0,1.0,1.0
124,1426.0,7112.0,1.0,1.0
125,1427.0,7112.0,1.0,1.0
126,1428.0,7112.0,1.0,1.0
127,1429.0,7112.0,1.0,1.0
128,1429.0,7113.0,1.0,1.0
129,1429.0,7115.0,1.0,1.0
130,1429.0,7118.0,1.0,1.0
131,1429.0,7119.0,1.0,1.0
132,1429.0,7122.0,1.0,1.0
133,1428.0,7128.0,1.0,1.0
134,1429.0,7130.0,1.0,1.0
135,1429.0,7136.0,1.0,1.0
136,1429.0,7138.0,1.0,1.0
137,1428.0,7142.0,1.0,1.0
138,1427.0,7144.0,1.0,1.0
139,1423.0,7146.0,1.0,1.0
140,1421.0,7149.0,1.0,1.0
141,1419.0,7150.0,1.0,1.0
142,1415.0,7151.0,1.0,1.0
143,1411.0,7152.0,1.0,1.0
144,1406.0,7155.0,1.0,1.0
145,1401.0,7155.0,1.0,1.0
146,1399.0,7155.0,1.0,1.0
147,1396.0,7155.0,1.0,1.0
148,1394.0,7155.0,1.0,1.0
149,1391.0,7155.0,1.0,1.0
150,1390.0,7155.0,1.0,1.0
151,1386.0,7155.0,1.0,1.0
152,1385.0,7155.0,1.0,1.0
153,1384.0,7155.0,1.0,1.0
154,1383.0,7155.0,1.0,1.0
155,1382.0,7155.0,1.0,1.0
156,1381.0,7155.0,1.0,1.0
157,1380.0,7156.0,1.0,1.0
158,1377.0,7157.0,1.0,1.0
159,1375.0,7161.0,1.0,1.0
160,1374.0,7163.0,1.0,1.0
161,1370.0,7164.0,1.0,1.0
162,1369.0,7165.0,1.0,1.0
163,1367.0,7167.0,1.0,1.0
164,1365.0,7167.0,1.0,1.0
165,1363.0,7168.0,1.0,1.0
166,1360.0,7168.0,1.0,1.0
167,1355.0,7168.0,1.0,1.0
168,1353.0,7168.0,1.0,1.0
169,1351.0,7168.0,1.0,1.0
170,1349.0,7169.0,1.0,1.0
171,1347.0,7169.0,1.0,1.0
172,1345.0,7168.0,1.0,1.0
173,1343.0,7168.0,1.0,1.0
174,1340.0,7168.0,1.0,1.0
175,1339.0,7169.0,1.0,1.0
176,1338.0,7169.0,1.0,1.0
177,1337.0,7172.0,1.0,1.0
178,1336.0,7174.0,1.0,1.0
179,1334.0,7176.0,1.0,1.0
180,1331.0,7179.0,1.0,1.0
181,1330.0,7180.0,1.0,1.0
182,1328.0,7182.0,1.0,1.0
183,1326.0,7184.0,1.0,1.0
184,1324.0,7188.0,1.0,1.0
185,1323.0,7190.0,1.0,1.0
186,1322.0,7192.0,1.0,1.0
187,1322.0,7195.0,1.0,1.0
188,1320.0,7196.0,1.0,1.0
189,1317.0,7198.0,1.0,1.0
190,1316.0,7199.0,1.0,1.0
191,1315.0,7199.0,1.0,1.0
192,1306.0,7202.0,1.0,1.0
193,1307.0,7203.0,1.0,1.0
194,1304.0,7205.0,1.0,1.0
195,1301.0,7207.0,1.0,1.0
196,1298.0,7213.0,1.0,1.0
197,1292.0,7222.0,1.0,1.0
198,1289.0,7227.0,1.0,1.0
199,1288.0,7230.0,1.0,1.0
200,1286.0,7232.0,1.0,1.0
201,1285.0,7236.0,1.0,1.0
202,1285.0,7238.0,1.0,1.0
203,1284.0,7242.0,1.0,1.0
204,1284.0,7243.0,1.0,1.0
205,1283.0,7248.0,1.0,1.0
206,1283.0,7249.0,1.0,1.0
207,1283.0,7253.0,1.0,1.0
208,1282.0,7256.0,1.0,1.0
209,1282.0,7261.0,1.0,1.0
210,1282.0,7264.0,1.0,1.0
211,1282.0,7266.0,1.0,1.0
